year,month,mean,interp
1958,3,315.71,315.71
1958,4,317.45,317.45
1958,5,317.5,317.5
1958,6,-99.99,317.11
1958,7,315.86,315.86
1958,8,314.93,314.93
1958,9,313.2,313.2
1958,10,-99.99,312.61
1958,11,313.33,313.33
1958,12,314.67,314.67
1959,1,315.62,315.62
1959,2,316.38,316.38
1959,3,316.71,316.71
1959,4,317.72,317.72
1959,5,318.29,318.29
1959,6,318.16,318.16
1959,7,316.55,316.55
1959,8,314.8,314.8
1959,9,313.84,313.84
1959,10,313.26,313.26
1959,11,314.8,314.8
1959,12,315.59,315.59
1960,1,316.43,316.43
1960,2,316.97,316.97
1960,3,317.58,317.58
1960,4,319.02,319.02
1960,5,320.02,320.02
1960,6,319.59,319.59
1960,7,318.18,318.18
1960,8,315.91,315.91
1960,9,314.16,314.16
1960,10,313.83,313.83
1960,11,315,315
1960,12,316.19,316.19
1961,1,316.93,316.93
1961,2,317.7,317.7
1961,3,318.54,318.54
1961,4,319.48,319.48
1961,5,320.58,320.58
1961,6,319.77,319.77
1961,7,318.58,318.58
1961,8,316.79,316.79
1961,9,314.8,314.8
1961,10,315.38,315.38
1961,11,316.1,316.1
1961,12,317.01,317.01
1962,1,317.94,317.94
1962,2,318.55,318.55
1962,3,319.68,319.68
1962,4,320.63,320.63
1962,5,321.01,321.01
1962,6,320.55,320.55
1962,7,319.58,319.58
1962,8,317.4,317.4
1962,9,316.26,316.26
1962,10,315.42,315.42
1962,11,316.69,316.69
1962,12,317.7,317.7
1963,1,318.74,318.74
1963,2,319.08,319.08
1963,3,319.86,319.86
1963,4,321.39,321.39
1963,5,322.24,322.24
1963,6,321.47,321.47
1963,7,319.74,319.74
1963,8,317.77,317.77
1963,9,316.21,316.21
1963,10,315.99,315.99
1963,11,317.12,317.12
1963,12,318.31,318.31
1964,1,319.57,319.57
1964,2,-99.99,320.11
1964,3,-99.99,320.76
1964,4,-99.99,321.79
1964,5,322.24,322.24
1964,6,321.89,321.89
1964,7,320.44,320.44
1964,8,318.7,318.7
1964,9,316.7,316.7
1964,10,316.79,316.79
1964,11,317.79,317.79
1964,12,318.71,318.71
1965,1,319.44,319.44
1965,2,320.44,320.44
1965,3,320.89,320.89
1965,4,322.13,322.13
1965,5,322.16,322.16
1965,6,321.87,321.87
1965,7,321.39,321.39
1965,8,318.8,318.8
1965,9,317.81,317.81
1965,10,317.3,317.3
1965,11,318.87,318.87
1965,12,319.42,319.42
1966,1,320.62,320.62
1966,2,321.59,321.59
1966,3,322.39,322.39
1966,4,323.87,323.87
1966,5,324.01,324.01
1966,6,323.75,323.75
1966,7,322.4,322.4
1966,8,320.37,320.37
1966,9,318.64,318.64
1966,10,318.1,318.1
1966,11,319.78,319.78
1966,12,321.08,321.08
1967,1,322.06,322.06
1967,2,322.5,322.5
1967,3,323.04,323.04
1967,4,324.42,324.42
1967,5,325,325
1967,6,324.09,324.09
1967,7,322.55,322.55
1967,8,320.92,320.92
1967,9,319.31,319.31
1967,10,319.31,319.31
1967,11,320.72,320.72
1967,12,321.96,321.96
1968,1,322.57,322.57
1968,2,323.15,323.15
1968,3,323.89,323.89
1968,4,325.02,325.02
1968,5,325.57,325.57
1968,6,325.36,325.36
1968,7,324.14,324.14
1968,8,322.03,322.03
1968,9,320.41,320.41
1968,10,320.25,320.25
1968,11,321.31,321.31
1968,12,322.84,322.84
1969,1,324,324
1969,2,324.42,324.42
1969,3,325.64,325.64
1969,4,326.66,326.66
1969,5,327.34,327.34
1969,6,326.76,326.76
1969,7,325.88,325.88
1969,8,323.67,323.67
1969,9,322.38,322.38
1969,10,321.78,321.78
1969,11,322.85,322.85
1969,12,324.12,324.12
1970,1,325.03,325.03
1970,2,325.99,325.99
1970,3,326.87,326.87
1970,4,328.14,328.14
1970,5,328.07,328.07
1970,6,327.66,327.66
1970,7,326.35,326.35
1970,8,324.69,324.69
1970,9,323.1,323.1
1970,10,323.16,323.16
1970,11,323.98,323.98
1970,12,325.13,325.13
1971,1,326.17,326.17
1971,2,326.68,326.68
1971,3,327.18,327.18
1971,4,327.78,327.78
1971,5,328.92,328.92
1971,6,328.57,328.57
1971,7,327.34,327.34
1971,8,325.46,325.46
1971,9,323.36,323.36
1971,10,323.56,323.56
1971,11,324.8,324.8
1971,12,326.01,326.01
1972,1,326.77,326.77
1972,2,327.63,327.63
1972,3,327.75,327.75
1972,4,329.72,329.72
1972,5,330.07,330.07
1972,6,329.09,329.09
1972,7,328.05,328.05
1972,8,326.32,326.32
1972,9,324.93,324.93
1972,10,325.06,325.06
1972,11,326.5,326.5
1972,12,327.55,327.55
1973,1,328.55,328.55
1973,2,329.56,329.56
1973,3,330.3,330.3
1973,4,331.5,331.5
1973,5,332.48,332.48
1973,6,332.07,332.07
1973,7,330.87,330.87
1973,8,329.31,329.31
1973,9,327.51,327.51
1973,10,327.18,327.18
1973,11,328.16,328.16
1973,12,328.64,328.64
1974,1,329.35,329.35
1974,2,330.71,330.71
1974,3,331.48,331.48
1974,4,332.65,332.65
1974,5,333.15,333.15
1974,6,332.13,332.13
1974,7,330.99,330.99
1974,8,329.17,329.17
1974,9,327.41,327.41
1974,10,327.21,327.21
1974,11,328.34,328.34
1974,12,329.5,329.5
1975,1,330.68,330.68
1975,2,331.41,331.41
1975,3,331.85,331.85
1975,4,333.29,333.29
1975,5,333.91,333.91
1975,6,333.4,333.4
1975,7,331.74,331.74
1975,8,329.88,329.88
1975,9,328.57,328.57
1975,10,328.35,328.35
1975,11,329.33,329.33
1975,12,-99.99,330.55
1976,1,331.66,331.66
1976,2,332.76,332.76
1976,3,333.46,333.46
1976,4,334.78,334.78
1976,5,334.79,334.79
1976,6,334.05,334.05
1976,7,332.95,332.95
1976,8,330.64,330.64
1976,9,328.96,328.96
1976,10,328.77,328.77
1976,11,330.18,330.18
1976,12,331.65,331.65
1977,1,332.69,332.69
1977,2,333.23,333.23
1977,3,334.97,334.97
1977,4,336.03,336.03
1977,5,336.82,336.82
1977,6,336.1,336.1
1977,7,334.79,334.79
1977,8,332.53,332.53
1977,9,331.19,331.19
1977,10,331.21,331.21
1977,11,332.35,332.35
1977,12,333.47,333.47
1978,1,335.09,335.09
1978,2,335.26,335.26
1978,3,336.62,336.62
1978,4,337.77,337.77
1978,5,338,338
1978,6,337.98,337.98
1978,7,336.48,336.48
1978,8,334.37,334.37
1978,9,332.33,332.33
1978,10,332.4,332.4
1978,11,333.76,333.76
1978,12,334.83,334.83
1979,1,336.21,336.21
1979,2,336.64,336.64
1979,3,338.13,338.13
1979,4,338.96,338.96
1979,5,339.02,339.02
1979,6,339.2,339.2
1979,7,337.6,337.6
1979,8,335.56,335.56
1979,9,333.93,333.93
1979,10,334.12,334.12
1979,11,335.26,335.26
1979,12,336.78,336.78
1980,1,337.8,337.8
1980,2,338.28,338.28
1980,3,340.04,340.04
1980,4,340.86,340.86
1980,5,341.47,341.47
1980,6,341.26,341.26
1980,7,339.34,339.34
1980,8,337.45,337.45
1980,9,336.1,336.1
1980,10,336.05,336.05
1980,11,337.21,337.21
1980,12,338.29,338.29
1981,1,339.36,339.36
1981,2,340.51,340.51
1981,3,341.57,341.57
1981,4,342.56,342.56
1981,5,343.01,343.01
1981,6,342.52,342.52
1981,7,340.71,340.71
1981,8,338.51,338.51
1981,9,336.96,336.96
1981,10,337.13,337.13
1981,11,338.58,338.58
1981,12,339.91,339.91
1982,1,340.92,340.92
1982,2,341.69,341.69
1982,3,342.87,342.87
1982,4,343.83,343.83
1982,5,344.3,344.3
1982,6,343.42,343.42
1982,7,341.85,341.85
1982,8,339.82,339.82
1982,9,337.98,337.98
1982,10,338.09,338.09
1982,11,339.24,339.24
1982,12,340.67,340.67
1983,1,341.42,341.42
1983,2,342.67,342.67
1983,3,343.45,343.45
1983,4,345.08,345.08
1983,5,345.75,345.75
1983,6,345.32,345.32
1983,7,343.93,343.93
1983,8,342.08,342.08
1983,9,340,340
1983,10,340.12,340.12
1983,11,341.35,341.35
1983,12,342.89,342.89
1984,1,343.87,343.87
1984,2,344.59,344.59
1984,3,345.29,345.29
1984,4,-99.99,346.58
1984,5,347.36,347.36
1984,6,346.8,346.8
1984,7,345.37,345.37
1984,8,343.06,343.06
1984,9,341.24,341.24
1984,10,341.54,341.54
1984,11,342.9,342.9
1984,12,344.36,344.36
1985,1,345.08,345.08
1985,2,345.89,345.89
1985,3,347.49,347.49
1985,4,348.02,348.02
1985,5,348.75,348.75
1985,6,348.19,348.19
1985,7,346.49,346.49
1985,8,344.7,344.7
1985,9,343.04,343.04
1985,10,342.92,342.92
1985,11,344.22,344.22
1985,12,345.61,345.61
1986,1,346.42,346.42
1986,2,346.95,346.95
1986,3,347.88,347.88
1986,4,349.57,349.57
1986,5,350.35,350.35
1986,6,349.7,349.7
1986,7,347.78,347.78
1986,8,345.89,345.89
1986,9,344.88,344.88
1986,10,344.34,344.34
1986,11,345.67,345.67
1986,12,346.89,346.89
1987,1,348.2,348.2
1987,2,348.55,348.55
1987,3,349.56,349.56
1987,4,351.12,351.12
1987,5,351.84,351.84
1987,6,351.45,351.45
1987,7,349.77,349.77
1987,8,347.62,347.62
1987,9,346.37,346.37
1987,10,346.48,346.48
1987,11,347.8,347.8
1987,12,349.03,349.03
1988,1,350.23,350.23
1988,2,351.58,351.58
1988,3,352.22,352.22
1988,4,353.53,353.53
1988,5,354.14,354.14
1988,6,353.64,353.64
1988,7,352.53,352.53
1988,8,350.42,350.42
1988,9,348.84,348.84
1988,10,348.94,348.94
1988,11,349.99,349.99
1988,12,351.29,351.29
1989,1,352.72,352.72
1989,2,353.1,353.1
1989,3,353.64,353.64
1989,4,355.43,355.43
1989,5,355.7,355.7
1989,6,355.11,355.11
1989,7,353.79,353.79
1989,8,351.42,351.42
1989,9,349.83,349.83
1989,10,350.1,350.1
1989,11,351.26,351.26
1989,12,352.66,352.66
1990,1,353.63,353.63
1990,2,354.72,354.72
1990,3,355.49,355.49
1990,4,356.1,356.1
1990,5,357.08,357.08
1990,6,356.11,356.11
1990,7,354.67,354.67
1990,8,352.67,352.67
1990,9,351.05,351.05
1990,10,351.36,351.36
1990,11,352.81,352.81
1990,12,354.21,354.21
1991,1,354.87,354.87
1991,2,355.67,355.67
1991,3,357,357
1991,4,358.4,358.4
1991,5,359,359
1991,6,357.99,357.99
1991,7,355.96,355.96
1991,8,353.78,353.78
1991,9,352.2,352.2
1991,10,352.22,352.22
1991,11,353.7,353.7
1991,12,354.98,354.98
1992,1,356.08,356.08
1992,2,356.84,356.84
1992,3,357.73,357.73
1992,4,358.91,358.91
1992,5,359.45,359.45
1992,6,359.19,359.19
1992,7,356.72,356.72
1992,8,354.77,354.77
1992,9,352.8,352.8
1992,10,353.21,353.21
1992,11,354.15,354.15
1992,12,355.39,355.39
1993,1,356.76,356.76
1993,2,357.17,357.17
1993,3,358.26,358.26
1993,4,359.17,359.17
1993,5,360.07,360.07
1993,6,359.41,359.41
1993,7,357.36,357.36
1993,8,355.29,355.29
1993,9,353.96,353.96
1993,10,354.03,354.03
1993,11,355.27,355.27
1993,12,356.7,356.7
1994,1,358.05,358.05
1994,2,358.8,358.8
1994,3,359.67,359.67
1994,4,361.13,361.13
1994,5,361.48,361.48
1994,6,360.6,360.6
1994,7,359.2,359.2
1994,8,357.23,357.23
1994,9,355.42,355.42
1994,10,355.89,355.89
1994,11,357.41,357.41
1994,12,358.74,358.74
1995,1,359.73,359.73
1995,2,360.61,360.61
1995,3,361.6,361.6
1995,4,363.05,363.05
1995,5,363.62,363.62
1995,6,363.03,363.03
1995,7,361.55,361.55
1995,8,358.94,358.94
1995,9,357.93,357.93
1995,10,357.8,357.8
1995,11,359.22,359.22
1995,12,360.42,360.42
1996,1,361.83,361.83
1996,2,362.94,362.94
1996,3,363.91,363.91
1996,4,364.28,364.28
1996,5,364.93,364.93
1996,6,364.7,364.7
1996,7,363.31,363.31
1996,8,361.15,361.15
1996,9,359.41,359.41
1996,10,359.34,359.34
1996,11,360.62,360.62
1996,12,361.96,361.96
1997,1,362.81,362.81
1997,2,363.87,363.87
1997,3,364.25,364.25
1997,4,366.02,366.02
1997,5,366.47,366.47
1997,6,365.36,365.36
1997,7,364.1,364.1
1997,8,361.89,361.89
1997,9,360.05,360.05
1997,10,360.49,360.49
1997,11,362.21,362.21
1997,12,364.12,364.12
1998,1,365,365
1998,2,365.82,365.82
1998,3,366.95,366.95
1998,4,368.42,368.42
1998,5,369.33,369.33
1998,6,368.78,368.78
1998,7,367.59,367.59
1998,8,365.81,365.81
1998,9,363.83,363.83
1998,10,364.18,364.18
1998,11,365.36,365.36
1998,12,366.87,366.87
1999,1,367.97,367.97
1999,2,368.83,368.83
1999,3,369.46,369.46
1999,4,370.77,370.77
1999,5,370.66,370.66
1999,6,370.1,370.1
